id,transliteration,translation
778,lu-qú-tum a-na kà-ri-im e-ru-ub-ma ma-ṣa-ru ni-is-ha-tum i-lá-qé,"The merchandise entered the colony, and the guards will take the deduction-taxes."
779,um-ma wa-ar-di-ni-ma a-na DAM.GÀR ú a-bi-a qí-bi-ma,Thus says our slave: Speak to the merchant and my father:
780,um-ma ši-ip-ri-ni-ma a-na A-šur-na-da qí-bi-ma,Thus says our messenger: Speak to Ashur-nada:
781,ṭup-pám ša ši-ip-ri-ni a-mur-ma AN.NA šé-bi-lam,Examine the tablet of our messenger and send the tin.
782,um-ma ma-ṣa-ru-ma a-na a-bi-a ú a-bi-a qí-bi-ma,Thus says the guards: Speak to my father and my father:
783,šu-ma Pú-zur4-A-šur URUDU dam-qám lá u-šé-bi-lam a-na a-lim(ki) a-ša-par,"If Puzur-Ashur does not send the fine copper to me, I will write to the City."
784,šu-ma a-bi-a URUDU dam-qám lá u-šé-bi-lam a-na wa-ah-šu-ša-na a-ša-par,"If my father does not send the fine copper to me, I will write to Wahshushana."
785,šu-ma ši-ip-ri-ni URUDU dam-qám lá u-šé-bi-lam a-na a-lim(ki) a-ša-par,"If our messenger does not send the fine copper to me, I will write to the City."
786,a-šu-um KÙ.BABBAR ša da-a-a-nu-um a-na a-lim(ki) u-šé-bi-lu a-na-kam áš-me,"Concerning the silver that judge sent to the City, I have heard about it here."
787,ki-ma a-hu-a me-tù-ni DAM.GÀR TÚG.HI.A i-ki-mu-ni,"When my brother died, the merchant deprived me of the textiles."
788,um-ma Pú-zur4-A-šur-ma a-na ši-ip-ri-ni qí-bi-ma,Thus says Puzur-Ashur: Speak to our messenger:
789,šu-ma da-a-a-nu-um TÚG.HI.A lá u-šé-bi-lam a-na kà-ni-iš a-ša-par,"If the judge does not send the textiles to me, I will write to Kanesh."
790,a-šu-um lu-qú-tám ša ši-ip-ri-ni a-na a-lim(ki) u-šé-bi-lu a-na-kam áš-me,"Concerning the merchandise that our messenger sent to the City, I have heard about it here."
791,ki-ma wa-ar-di-ni me-tù-ni ma-ṣa-ru ŠE i-ki-mu-ni,"When our slave died, the guards deprived me of the grain."
792,5 GÍN ŠE i-na kà-ri-im a-na a-ha-tí-kà áš-qúl,I paid 5 shekels of grain to your sister in the colony.
793,um-ma kà-ru-um ha-hi-im-ma a-na DAM.GÀR qí-bi-ma,Thus says the Hahhum colony: Speak to the merchant:
794,um-ma kà-ru-um kà-ni-iš-ma a-na da-a-a-nu-um qí-bi-ma,Thus says the Kanesh colony: Speak to the judge:
795,a-šu-um <gap> ša um-mì-a a-na É DAM.GÀR u-šé-bi-lu a-na-kam áš-me,"Concerning <gap> that my mother sent to the merchant's house, I have heard about it here."
796,1 me-at ṭup-pám a-na <gap> di-in-ma šé-bi-lam,Give 100 units of the tablet to <gap> and send it to me.
797,um-ma a-hu-a-ma a-na Pú-zur4-A-šur qí-bi-ma,Thus says my brother: Speak to Puzur-Ashur:
798,ki-ma ma-ṣa-ru me-tù-ni A-šur-na-da <gap> i-ki-mu-ni,"When the guards died, Ashur-nada deprived me of the <gap>."
799,um-ma kà-ru-um É DAM.GÀR-ma a-na a-hu-a qí-bi-ma,Thus says the merchant's house colony: Speak to my brother:
800,lu-qú-tum a-na É.GAL-lim e-ru-ub-ma <gap> ni-is-ha-tum i-lá-qé,"The merchandise entered the palace, and <gap> will take the deduction-taxes."
801,ṭup-pám ša a-ha-tí-kà a-mur-ma kà-ni-kám šé-bi-lam,Examine the tablet of your sister and send the sealed document.
802,ṭup-pám ša a-bi-a a-mur-ma TÚG.HI.A šé-bi-lam,Examine the tablet of my father and send the textiles.
803,um-ma kà-ru-um wa-ah-šu-ša-na-ma a-na <gap> qí-bi-ma,Thus says the Wahshushana colony: Speak to <gap>:
804,1 ma-na lu-qú-tám i-na kà-ri-im a-na a-wi-lim áš-qúl,I paid 1 mina of merchandise to the boss in the colony.
805,a-na DAM.GÀR qí-bi-ma um-ma a-hu-a-ma,Speak to the merchant: thus says my brother.
806,a-na wa-ar-di-ni qí-bi-ma um-ma a-bi-a-ma,Speak to our slave: thus says my father.
807,ṭup-pám ša wa-ar-di-ni a-mur-ma AN.NA šé-bi-lam,Examine the tablet of our slave and send the tin.
808,10 ma-na KÙ.BABBAR i-na É DAM.GÀR a-na A-šur-na-da áš-qúl,I paid 10 minas of silver to Ashur-nada in the merchant's house.
809,5 GÍN KÙ.BABBAR i-na ha-hi-im a-na ru-ba-im áš-qúl,I paid 5 shekels of silver to the king in Hahhum.
810,1 me-at kà-ni-kám a-na A-šur-na-da di-in-ma šé-bi-lam,Give 100 units of the sealed document to Ashur-nada and send it to me.
811,um-ma Pú-zur4-A-šur-ma a-na a-wi-lim qí-bi-ma,Thus says Puzur-Ashur: Speak to the boss:
812,a-na um-mì-a šu-a-tí lá ta-ta-kà-al ṭup-pám i-kà-al,"Do not trust that my mother, he will embezzle the tablet."
813,10 ma-na ṭup-pám i-na É.GAL-lim a-na ši-ip-ri-ni áš-qúl,I paid 10 minas of the tablet to our messenger in the palace.
814,iš-tù É.GAL-lim a-na kà-ni-iš a-li-ik-ma kà-ni-kám ba-qí-ir,Go from the palace to Kanesh and claim the sealed document.
815,a-šu-um KÙ.BABBAR ša um-mì-a a-na bu-ru-uš-ha-tum u-šé-bi-lu a-na-kam áš-me,"Concerning the silver that my mother sent to Burushhattum, I have heard about it here."
816,a-na A-šur-na-da šu-a-tí lá ta-ta-kà-al kà-ni-kám i-kà-al,"Do not trust that Ashur-nada, he will embezzle the sealed document."
817,ṭup-pám ša DAM.GÀR a-mur-ma lu-qú-tám šé-bi-lam,Examine the tablet of the merchant and send the merchandise.
818,a-na ru-ba-im qí-bi-ma um-ma ši-ip-ri-ni-ma,Speak to the king: thus says our messenger.
819,um-ma kà-ru-um kà-ri-im-ma a-na Pú-zur4-A-šur qí-bi-ma,Thus says the colony colony: Speak to Puzur-Ashur:
820,ki-ma A-šur-na-da me-tù-ni ma-ṣa-ru AN.NA i-ki-mu-ni,"When Ashur-nada died, the guards deprived me of the tin."
821,a-na <gap> qí-bi-ma um-ma Pú-zur4-A-šur-ma,Speak to <gap>: thus says Puzur-Ashur.
822,šu-ma DAM.GÀR lu-qú-tám lá u-šé-bi-lam a-na wa-ah-šu-ša-na a-ša-par,"If the merchant does not send the merchandise to me, I will write to Wahshushana."
823,um-ma wa-ar-di-ni-ma a-na ru-ba-im ú DAM.GÀR qí-bi-ma,Thus says our slave: Speak to the king and the merchant:
824,a-na A-šur-na-da qí-bi-ma um-ma ši-ip-ri-ni-ma,Speak to Ashur-nada: thus says our messenger.
825,iš-tù kà-ni-iš a-na wa-ah-šu-ša-na a-li-ik-ma TÚG.HI.A ba-qí-ir,Go from Kanesh to Wahshushana and claim the textiles.
826,a-na um-mì-a šu-a-tí lá ta-ta-kà-al AN.NA i-kà-al,"Do not trust that my mother, he will embezzle the tin."
827,um-ma DAM.GÀR-ma a-na a-wi-lim ú um-mì-a qí-bi-ma,Thus says the merchant: Speak to the boss and my mother:
828,iš-tù kà-ni-iš a-na a-lim(ki) a-li-ik-ma TÚG.HI.A ba-qí-ir,Go from Kanesh to the City and claim the textiles.
829,ki-ma DAM.GÀR me-tù-ni da-a-a-nu-um KÙ.GI i-ki-mu-ni,"When the merchant died, the judge deprived me of the gold."
830,5 GÍN KÙ.GI a-na da-a-a-nu-um di-in-ma šé-bi-lam,Give 5 shekels of gold to the judge and send it to me.
831,um-ma kà-ru-um É.GAL-lim-ma a-na <gap> qí-bi-ma,Thus says the palace colony: Speak to <gap>:
832,5 GÍN TÚG.HI.A i-na ha-hi-im a-na <gap> áš-qúl,I paid 5 shekels of textiles to <gap> in Hahhum.
833,a-na ma-ṣa-ru qí-bi-ma um-ma DAM.GÀR-ma,Speak to the guards: thus says the merchant.
834,1 me-at KÙ.BABBAR i-na É.GAL-lim a-na A-šur-na-da áš-qúl,I paid 100 units of silver to Ashur-nada in the palace.
835,um-ma wa-ar-di-ni-ma a-na um-mì-a ú ru-ba-im qí-bi-ma,Thus says our slave: Speak to my mother and the king:
836,iš-tù kà-ni-iš a-na bu-ru-uš-ha-tum a-li-ik-ma <gap> ba-qí-ir,Go from Kanesh to Burushhattum and claim the <gap>.
837,1 ma-na lu-qú-tám a-na DAM.GÀR di-in-ma šé-bi-lam,Give 1 mina of merchandise to the merchant and send it to me.
838,2 bi-lá-tim KÙ.BABBAR a-na da-a-a-nu-um di-in-ma šé-bi-lam,Give 2 talents of silver to the judge and send it to me.
839,ki-ma ma-ṣa-ru me-tù-ni um-mì-a URUDU dam-qám i-ki-mu-ni,"When the guards died, my mother deprived me of the fine copper."
840,šu-ma A-šur-na-da TÚG.HI.A lá u-šé-bi-lam a-na bu-ru-uš-ha-tum a-ša-par,"If Ashur-nada does not send the textiles to me, I will write to Burushhattum."
841,a-šu-um AN.NA ša Pú-zur4-A-šur a-na ha-hi-im u-šé-bi-lu a-na-kam áš-me,"Concerning the tin that Puzur-Ashur sent to Hahhum, I have heard about it here."
842,iš-tù kà-ri-im a-na wa-ah-šu-ša-na a-li-ik-ma lu-qú-tám ba-qí-ir,Go from the colony to Wahshushana and claim the merchandise.
843,1 me-at KÙ.GI a-na <gap> di-in-ma šé-bi-lam,Give 100 units of gold to <gap> and send it to me.
844,ṭup-pám ša ru-ba-im a-mur-ma AN.NA šé-bi-lam,Examine the tablet of the king and send the tin.
845,iš-tù É DAM.GÀR a-na kà-ni-iš a-li-ik-ma AN.NA ba-qí-ir,Go from the merchant's house to Kanesh and claim the tin.
846,a-šu-um kà-ni-kám ša DAM.GÀR a-na <gap> u-šé-bi-lu a-na-kam áš-me,"Concerning the sealed document that merchant sent to <gap>, I have heard about it here."
847,1 me-at ŠE a-na ši-ip-ri-ni di-in-ma šé-bi-lam,Give 100 units of grain to our messenger and send it to me.
848,1 me-at AN.NA i-na É.GAL-lim a-na da-a-a-nu-um áš-qúl,I paid 100 units of tin to the judge in the palace.
849,ṭup-pám ša Pú-zur4-A-šur a-mur-ma TÚG.HI.A šé-bi-lam,Examine the tablet of Puzur-Ashur and send the textiles.
850,um-ma <gap>-ma a-na a-wi-lim qí-bi-ma,Thus says <gap>: Speak to the boss:
851,um-ma Pú-zur4-A-šur-ma a-na a-hu-a ú ma-ṣa-ru qí-bi-ma,Thus says Puzur-Ashur: Speak to my brother and the guards:
852,ṭup-pám ša Pú-zur4-A-šur a-mur-ma KÙ.GI šé-bi-lam,Examine the tablet of Puzur-Ashur and send the gold.
853,ki-ma <gap> me-tù-ni um-mì-a ŠE i-ki-mu-ni,"When <gap> died, my mother deprived me of the grain."
854,um-ma kà-ru-um bu-ru-uš-ha-tum-ma a-na a-ha-tí-kà qí-bi-ma,Thus says the Burushhattum colony: Speak to your sister:
855,um-ma a-bi-a-ma a-na ma-ṣa-ru ú a-wi-lim qí-bi-ma,Thus says my father: Speak to the guards and the boss:
856,um-ma A-šur-na-da-ma a-na da-a-a-nu-um ú A-šur-na-da qí-bi-ma,Thus says Ashur-nada: Speak to the judge and Ashur-nada:
857,ṭup-pám ša da-a-a-nu-um a-mur-ma ŠE šé-bi-lam,Examine the tablet of the judge and send the grain.
858,a-šu-um AN.NA ša um-mì-a a-na bu-ru-uš-ha-tum u-šé-bi-lu a-na-kam áš-me,"Concerning the tin that my mother sent to Burushhattum, I have heard about it here."
859,um-ma kà-ru-um É.GAL-lim-ma a-na a-ha-tí-kà qí-bi-ma,Thus says the palace colony: Speak to your sister:
860,um-ma ru-ba-im-ma a-na A-šur-na-da qí-bi-ma,Thus says the king: Speak to Ashur-nada:
861,šu-ma A-šur-na-da AN.NA lá u-šé-bi-lam a-na kà-ri-im a-ša-par,"If Ashur-nada does not send the tin to me, I will write to the colony."
862,1 me-at ṭup-pám i-na kà-ri-im a-na a-wi-lim áš-qúl,I paid 100 units of the tablet to the boss in the colony.
863,um-ma a-ha-tí-kà-ma a-na a-wi-lim qí-bi-ma,Thus says your sister: Speak to the boss:
864,um-ma kà-ru-um É DAM.GÀR-ma a-na ru-ba-im qí-bi-ma,Thus says the merchant's house colony: Speak to the king:
865,šu-ma a-ha-tí-kà KÙ.BABBAR lá u-šé-bi-lam a-na ha-hi-im a-ša-par,"If your sister does not send the silver to me, I will write to Hahhum."
866,um-ma kà-ru-um <gap>-ma a-na a-wi-lim qí-bi-ma,Thus says <gap> colony: Speak to the boss:
867,1 ma-na KÙ.BABBAR i-na a-lim(ki) a-na wa-ar-di-ni áš-qúl,I paid 1 mina of silver to our slave in the City.
868,5 GÍN ŠE a-na a-wi-lim di-in-ma šé-bi-lam,Give 5 shekels of grain to the boss and send it to me.
869,a-na ma-ṣa-ru qí-bi-ma um-ma a-wi-lim-ma,Speak to the guards: thus says the boss.
870,šu-ma ma-ṣa-ru KÙ.GI lá u-šé-bi-lam a-na kà-ri-im a-ša-par,"If the guards does not send the gold to me, I will write to the colony."
871,1/3 ma-na lu-qú-tám i-na É DAM.GÀR a-na A-šur-na-da áš-qúl,I paid one-third of a mina of merchandise to Ashur-nada in the merchant's house.
872,iš-tù bu-ru-uš-ha-tum a-na kà-ri-im a-li-ik-ma ŠE ba-qí-ir,Go from Burushhattum to the colony and claim the grain.
873,šu-ma a-hu-a ṭup-pám lá u-šé-bi-lam a-na kà-ri-im a-ša-par,"If my brother does not send the tablet to me, I will write to the colony."
874,5 GÍN kà-ni-kám a-na a-wi-lim di-in-ma šé-bi-lam,Give 5 shekels of the sealed document to the boss and send it to me.
875,a-šu-um AN.NA ša da-a-a-nu-um a-na É.GAL-lim u-šé-bi-lu a-na-kam áš-me,"Concerning the tin that judge sent to the palace, I have heard about it here."
876,a-na <gap> qí-bi-ma um-ma da-a-a-nu-um-ma,Speak to <gap>: thus says the judge.
877,šu-ma <gap> KÙ.BABBAR lá u-šé-bi-lam a-na wa-ah-šu-ša-na a-ša-par,"If <gap> does not send the silver to me, I will write to Wahshushana."
878,5 GÍN kà-ni-kám i-na wa-ah-šu-ša-na a-na ru-ba-im áš-qúl,I paid 5 shekels of the sealed document to the king in Wahshushana.
879,a-na ši-ip-ri-ni šu-a-tí lá ta-ta-kà-al ṭup-pám i-kà-al,"Do not trust that our messenger, he will embezzle the tablet."
880,šu-ma um-mì-a lu-qú-tám lá u-šé-bi-lam a-na <gap> a-ša-par,"If my mother does not send the merchandise to me, I will write to <gap>."
881,šu-ma da-a-a-nu-um URUDU dam-qám lá u-šé-bi-lam a-na bu-ru-uš-ha-tum a-ša-par,"If the judge does not send the fine copper to me, I will write to Burushhattum."
882,lu-qú-tum a-na kà-ni-iš e-ru-ub-ma ru-ba-im ni-is-ha-tum i-lá-qé,"The merchandise entered Kanesh, and the king will take the deduction-taxes."
883,lu-qú-tum a-na É.GAL-lim e-ru-ub-ma Pú-zur4-A-šur ni-is-ha-tum i-lá-qé,"The merchandise entered the palace, and Puzur-Ashur will take the deduction-taxes."
884,a-šu-um KÙ.GI ša DAM.GÀR a-na wa-ah-šu-ša-na u-šé-bi-lu a-na-kam áš-me,"Concerning the gold that merchant sent to Wahshushana, I have heard about it here."
885,um-ma a-wi-lim-ma a-na ru-ba-im ú ru-ba-im qí-bi-ma,Thus says the boss: Speak to the king and the king:
886,um-ma kà-ru-um bu-ru-uš-ha-tum-ma a-na a-wi-lim qí-bi-ma,Thus says the Burushhattum colony: Speak to the boss:
887,a-na ma-ṣa-ru šu-a-tí lá ta-ta-kà-al URUDU dam-qám i-kà-al,"Do not trust that guards, he will embezzle the fine copper."
888,šu-ma um-mì-a KÙ.BABBAR lá u-šé-bi-lam a-na ha-hi-im a-ša-par,"If my mother does not send the silver to me, I will write to Hahhum."
889,a-šu-um AN.NA ša a-hu-a a-na ha-hi-im u-šé-bi-lu a-na-kam áš-me,"Concerning the tin that my brother sent to Hahhum, I have heard about it here."
890,ṭup-pám ša da-a-a-nu-um a-mur-ma KÙ.BABBAR šé-bi-lam,Examine the tablet of the judge and send the silver.
891,šu-ma a-bi-a AN.NA lá u-šé-bi-lam a-na É DAM.GÀR a-ša-par,"If my father does not send the tin to me, I will write to the merchant's house."
892,iš-tù wa-ah-šu-ša-na a-na ha-hi-im a-li-ik-ma KÙ.BABBAR ba-qí-ir,Go from Wahshushana to Hahhum and claim the silver.
893,10 ma-na TÚG.HI.A a-na a-hu-a di-in-ma šé-bi-lam,Give 10 minas of textiles to my brother and send it to me.
894,ki-ma a-ha-tí-kà me-tù-ni ši-ip-ri-ni ṭup-pám i-ki-mu-ni,"When your sister died, our messenger deprived me of the tablet."
895,šu-ma DAM.GÀR ṭup-pám lá u-šé-bi-lam a-na É.GAL-lim a-ša-par,"If the merchant does not send the tablet to me, I will write to the palace."
896,a-na Pú-zur4-A-šur qí-bi-ma um-ma ru-ba-im-ma,Speak to Puzur-Ashur: thus says the king.
897,ṭup-pám ša a-bi-a a-mur-ma lu-qú-tám šé-bi-lam,Examine the tablet of my father and send the merchandise.
898,ki-ma DAM.GÀR me-tù-ni ma-ṣa-ru KÙ.BABBAR i-ki-mu-ni,"When the merchant died, the guards deprived me of the silver."
899,a-na um-mì-a qí-bi-ma um-ma ši-ip-ri-ni-ma,Speak to my mother: thus says our messenger.
900,a-šu-um URUDU dam-qám ša ma-ṣa-ru a-na bu-ru-uš-ha-tum u-šé-bi-lu a-na-kam áš-me,"Concerning the fine copper that guards sent to Burushhattum, I have heard about it here."
901,10 ma-na TÚG.HI.A a-na <gap> di-in-ma šé-bi-lam,Give 10 minas of textiles to <gap> and send it to me.
902,um-ma ru-ba-im-ma a-na um-mì-a ú a-bi-a qí-bi-ma,Thus says the king: Speak to my mother and my father:
903,ki-ma A-šur-na-da me-tù-ni Pú-zur4-A-šur AN.NA i-ki-mu-ni,"When Ashur-nada died, Puzur-Ashur deprived me of the tin."
904,a-šu-um lu-qú-tám ša a-bi-a a-na a-lim(ki) u-šé-bi-lu a-na-kam áš-me,"Concerning the merchandise that my father sent to the City, I have heard about it here."
905,ki-ma a-wi-lim me-tù-ni A-šur-na-da <gap> i-ki-mu-ni,"When the boss died, Ashur-nada deprived me of the <gap>."
906,a-na ši-ip-ri-ni šu-a-tí lá ta-ta-kà-al <gap> i-kà-al,"Do not trust that our messenger, he will embezzle <gap>."
907,ki-ma ma-ṣa-ru me-tù-ni a-hu-a TÚG.HI.A i-ki-mu-ni,"When the guards died, my brother deprived me of the textiles."
908,5 GÍN TÚG.HI.A i-na É DAM.GÀR a-na a-hu-a áš-qúl,I paid 5 shekels of textiles to my brother in the merchant's house.
909,ṭup-pám ša ru-ba-im a-mur-ma TÚG.HI.A šé-bi-lam,Examine the tablet of the king and send the textiles.
910,lu-qú-tum a-na É DAM.GÀR e-ru-ub-ma um-mì-a ni-is-ha-tum i-lá-qé,"The merchandise entered the merchant's house, and my mother will take the deduction-taxes."
911,1/3 ma-na ŠE i-na É.GAL-lim a-na um-mì-a áš-qúl,I paid one-third of a mina of grain to my mother in the palace.
912,šu-ma a-ha-tí-kà ŠE lá u-šé-bi-lam a-na wa-ah-šu-ša-na a-ša-par,"If your sister does not send the grain to me, I will write to Wahshushana."
913,um-ma ru-ba-im-ma a-na a-bi-a qí-bi-ma,Thus says the king: Speak to my father:
914,a-na ma-ṣa-ru šu-a-tí lá ta-ta-kà-al ŠE i-kà-al,"Do not trust that guards, he will embezzle the grain."
915,5 GÍN ṭup-pám a-na Pú-zur4-A-šur di-in-ma šé-bi-lam,Give 5 shekels of the tablet to Puzur-Ashur and send it to me.
916,um-ma a-ha-tí-kà-ma a-na um-mì-a ú DAM.GÀR qí-bi-ma,Thus says your sister: Speak to my mother and the merchant:
917,a-na um-mì-a šu-a-tí lá ta-ta-kà-al lu-qú-tám i-kà-al,"Do not trust that my mother, he will embezzle the merchandise."
918,2 bi-lá-tim URUDU dam-qám i-na wa-ah-šu-ša-na a-na wa-ar-di-ni áš-qúl,I paid 2 talents of fine copper to our slave in Wahshushana.
919,um-ma da-a-a-nu-um-ma a-na a-wi-lim ú a-hu-a qí-bi-ma,Thus says the judge: Speak to the boss and my brother:
920,ṭup-pám ša a-bi-a a-mur-ma AN.NA šé-bi-lam,Examine the tablet of my father and send the tin.
921,1 me-at lu-qú-tám a-na a-bi-a di-in-ma šé-bi-lam,Give 100 units of merchandise to my father and send it to me.
922,um-ma DAM.GÀR-ma a-na wa-ar-di-ni ú wa-ar-di-ni qí-bi-ma,Thus says the merchant: Speak to our slave and our slave:
923,2 bi-lá-tim KÙ.BABBAR a-na wa-ar-di-ni di-in-ma šé-bi-lam,Give 2 talents of silver to our slave and send it to me.
924,ki-ma ši-ip-ri-ni me-tù-ni ru-ba-im KÙ.GI i-ki-mu-ni,"When our messenger died, the king deprived me of the gold."
925,ṭup-pám ša ši-ip-ri-ni a-mur-ma lu-qú-tám šé-bi-lam,Examine the tablet of our messenger and send the merchandise.
926,lu-qú-tum a-na É DAM.GÀR e-ru-ub-ma a-hu-a ni-is-ha-tum i-lá-qé,"The merchandise entered the merchant's house, and my brother will take the deduction-taxes."
927,iš-tù É DAM.GÀR a-na bu-ru-uš-ha-tum a-li-ik-ma TÚG.HI.A ba-qí-ir,Go from the merchant's house to Burushhattum and claim the textiles.
928,lu-qú-tum a-na ha-hi-im e-ru-ub-ma ši-ip-ri-ni ni-is-ha-tum i-lá-qé,"The merchandise entered Hahhum, and our messenger will take the deduction-taxes."
929,um-ma DAM.GÀR-ma a-na ru-ba-im ú wa-ar-di-ni qí-bi-ma,Thus says the merchant: Speak to the king and our slave:
930,iš-tù <gap> a-na kà-ri-im a-li-ik-ma lu-qú-tám ba-qí-ir,Go from <gap> to the colony and claim the merchandise.
931,lu-qú-tum a-na a-lim(ki) e-ru-ub-ma wa-ar-di-ni ni-is-ha-tum i-lá-qé,"The merchandise entered the City, and our slave will take the deduction-taxes."
932,10 ma-na ṭup-pám i-na kà-ri-im a-na ši-ip-ri-ni áš-qúl,I paid 10 minas of the tablet to our messenger in the colony.
933,lu-qú-tum a-na wa-ah-šu-ša-na e-ru-ub-ma da-a-a-nu-um ni-is-ha-tum i-lá-qé,"The merchandise entered Wahshushana, and the judge will take the deduction-taxes."
934,1 ma-na URUDU dam-qám a-na ma-ṣa-ru di-in-ma šé-bi-lam,Give 1 mina of fine copper to the guards and send it to me.
935,lu-qú-tum a-na bu-ru-uš-ha-tum e-ru-ub-ma <gap> ni-is-ha-tum i-lá-qé,"The merchandise entered Burushhattum, and <gap> will take the deduction-taxes."
936,šu-ma ma-ṣa-ru <gap> lá u-šé-bi-lam a-na a-lim(ki) a-ša-par,"If the guards does not send the <gap> to me, I will write to the City."
937,ṭup-pám ša um-mì-a a-mur-ma AN.NA šé-bi-lam,Examine the tablet of my mother and send the tin.
938,um-ma ši-ip-ri-ni-ma a-na a-bi-a ú a-hu-a qí-bi-ma,Thus says our messenger: Speak to my father and my brother:
939,a-na Pú-zur4-A-šur qí-bi-ma um-ma a-bi-a-ma,Speak to Puzur-Ashur: thus says my father.
940,um-ma Pú-zur4-A-šur-ma a-na um-mì-a ú wa-ar-di-ni qí-bi-ma,Thus says Puzur-Ashur: Speak to my mother and our slave:
941,<gap> TÚG.HI.A a-na ši-ip-ri-ni di-in-ma šé-bi-lam,Give <gap> of textiles to our messenger and send it to me.
942,1 me-at KÙ.BABBAR i-na kà-ri-im a-na ma-ṣa-ru áš-qúl,I paid 100 units of silver to the guards in the colony.
943,ṭup-pám ša <gap> a-mur-ma KÙ.BABBAR šé-bi-lam,Examine the tablet of <gap> and send the silver.
944,a-šu-um kà-ni-kám ša wa-ar-di-ni a-na kà-ni-iš u-šé-bi-lu a-na-kam áš-me,"Concerning the sealed document that our slave sent to Kanesh, I have heard about it here."
945,um-ma Pú-zur4-A-šur-ma a-na a-bi-a ú Pú-zur4-A-šur qí-bi-ma,Thus says Puzur-Ashur: Speak to my father and Puzur-Ashur:
946,<gap> KÙ.GI i-na wa-ah-šu-ša-na a-na DAM.GÀR áš-qúl,I paid <gap> of gold to the merchant in Wahshushana.
947,iš-tù bu-ru-uš-ha-tum a-na wa-ah-šu-ša-na a-li-ik-ma lu-qú-tám ba-qí-ir,Go from Burushhattum to Wahshushana and claim the merchandise.
948,iš-tù wa-ah-šu-ša-na a-na ha-hi-im a-li-ik-ma URUDU dam-qám ba-qí-ir,Go from Wahshushana to Hahhum and claim the fine copper.
949,a-šu-um AN.NA ša <gap> a-na kà-ni-iš u-šé-bi-lu a-na-kam áš-me,"Concerning the tin that <gap> sent to Kanesh, I have heard about it here."
950,1 GÍN ŠE i-na kà-ni-iš a-na a-hu-a áš-qúl,I paid 1 shekel of grain to my brother in Kanesh.
951,a-na Pú-zur4-A-šur qí-bi-ma um-ma ma-ṣa-ru-ma,Speak to Puzur-Ashur: thus says the guards.
952,a-šu-um <gap> ša ma-ṣa-ru a-na É.GAL-lim u-šé-bi-lu a-na-kam áš-me,"Concerning the <gap> that guards sent to the palace, I have heard about it here."
953,šu-ma ši-ip-ri-ni AN.NA lá u-šé-bi-lam a-na wa-ah-šu-ša-na a-ša-par,"If our messenger does not send the tin to me, I will write to Wahshushana."
954,5 GÍN kà-ni-kám i-na bu-ru-uš-ha-tum a-na a-wi-lim áš-qúl,I paid 5 shekels of the sealed document to the boss in Burushhattum.
955,šu-ma A-šur-na-da AN.NA lá u-šé-bi-lam a-na wa-ah-šu-ša-na a-ša-par,"If Ashur-nada does not send the tin to me, I will write to Wahshushana."
956,šu-ma a-bi-a TÚG.HI.A lá u-šé-bi-lam a-na É DAM.GÀR a-ša-par,"If my father does not send the textiles to me, I will write to the merchant's house."
957,ṭup-pám ša a-hu-a a-mur-ma ŠE šé-bi-lam,Examine the tablet of my brother and send the grain.
958,a-šu-um ŠE ša ru-ba-im a-na bu-ru-uš-ha-tum u-šé-bi-lu a-na-kam áš-me,"Concerning the grain that king sent to Burushhattum, I have heard about it here."
959,1 GÍN KÙ.GI a-na ma-ṣa-ru di-in-ma šé-bi-lam,Give 1 shekel of gold to the guards and send it to me.
960,ṭup-pám ša A-šur-na-da a-mur-ma URUDU dam-qám šé-bi-lam,Examine the tablet of Ashur-nada and send the fine copper.
961,a-na a-bi-a šu-a-tí lá ta-ta-kà-al lu-qú-tám i-kà-al,"Do not trust that my father, he will embezzle the merchandise."
962,a-na a-wi-lim šu-a-tí lá ta-ta-kà-al ŠE i-kà-al,"Do not trust that boss, he will embezzle the grain."
963,iš-tù a-lim(ki) a-na É.GAL-lim a-li-ik-ma ṭup-pám ba-qí-ir,Go from the City to the palace and claim the tablet.
964,ki-ma a-bi-a me-tù-ni wa-ar-di-ni ŠE i-ki-mu-ni,"When my father died, our slave deprived me of the grain."
965,a-šu-um TÚG.HI.A ša a-bi-a a-na É DAM.GÀR u-šé-bi-lu a-na-kam áš-me,"Concerning the textiles that my father sent to the merchant's house, I have heard about it here."
966,lu-qú-tum a-na kà-ni-iš e-ru-ub-ma Pú-zur4-A-šur ni-is-ha-tum i-lá-qé,"The merchandise entered Kanesh, and Puzur-Ashur will take the deduction-taxes."
967,a-šu-um lu-qú-tám ša ši-ip-ri-ni a-na É.GAL-lim u-šé-bi-lu a-na-kam áš-me,"Concerning the merchandise that our messenger sent to the palace, I have heard about it here."
968,a-na ši-ip-ri-ni qí-bi-ma um-ma da-a-a-nu-um-ma,Speak to our messenger: thus says the judge.
969,iš-tù bu-ru-uš-ha-tum a-na wa-ah-šu-ša-na a-li-ik-ma URUDU dam-qám ba-qí-ir,Go from Burushhattum to Wahshushana and claim the fine copper.
970,um-ma wa-ar-di-ni-ma a-na da-a-a-nu-um qí-bi-ma,Thus says our slave: Speak to the judge:
971,um-ma ru-ba-im-ma a-na a-wi-lim ú A-šur-na-da qí-bi-ma,Thus says the king: Speak to the boss and Ashur-nada:
