oa,english
"3 ma-na AN.NA ku-nu-ki ša I-ku-pí-Ištar DUMU I-ku-a-a a-na Ì-lí-a-lim DUMU Sú-kà-li-a áp-qí-id","Three minas of tin under the seals of Ikūn-pī-Ištar, son of Iku'aya I entrusted to Ilī-ālum, son of Sukkalliya,"
"IGI Šu-Ku-bi-im DUMU Qá-a-tim IGI A-šur-ma-lik DUMU A-lá-hi-im","in the presence of Šu-Kūbum, son of Qa'atum (and) of Aššur-mālik, son of Ali-ahum."
"7 ma-na AN.NA ša Ku-ni-lim A-šur-DÙG ú-bi-il5","Seven minas of tin belonging to Kūn-ilum Aššur-ṭāb brought away."
"1 ma-na KÙ.B. a-na A-šur-ma-lik dí-in-š[u]-ma i-na ša <<na>> na-ru-qí-im i-na ša li-bi4-ni nu-ṣa-ha-ar","Give 1 mina of silver to Aššur-mālik and we will deduct it from the assets of the joint-stock capital that we control."
"2 ma-na KÙ.B. a-na ta-ad-mì-iq-tim a-na Ku-da-nim i-dí-in","Give 2 minas of silver as a free loan to Kudānum;"
"½ ma-na KÙ a-na Ku-lu-ma-a <gap> 10 GÍN a-na ra-qí-tim ša Lá-ma-sí","½ mina of silver for Kulumāya <gap>; 10 shekels for a thin textile of Lamassī."
"[⅔] ma-na 3 GÍN KÙ.GI [ša] Ib-na-a [i-š]u-ni: ni-is-ha-ti1-šu ni-dí-in-ma ⅔ ma-na ⅔ GÍN [KÙ].GI ni-iš6-[am-ma] 7⅔ GÍN.TA","For the 43 shekels of gold, [which] Ibnaya has in his possession, we paid the import-tax on it and the (remaining) 40⅔ shekels of gold we bought and at 7⅔ shekels (of silver) per (shekel of gold);"
"KÙ.B.-áp-šu 5 ma-na 11 5/6 GÍN","it (equivalent) in silver was 5 minas 11 5/6 shekels."
"4 ma-na LÁ 4 GÍN KÙ.B. ša TÚG.HI.A ù AN.NA al-qé-ma ší-tí KÙ.B.-pì-šu","3 minas 56 shekels of silver I took for textiles and tin and the rest of his silver,"
"1 ma-na 15 5/6 GÍN KÙ.B. a-[ša ki]-ma šu-a-tí a-dí-[ma] [i]-ša-[qá-lam]","1 mina 15 5/6 shekels of silver, I gave to his representative and he will weigh it out to him."
"[<gap> GÍN K]Ù.B. a-na [Du]-li i-na Ú-lá-ma a-dí-in","I gave Duli in Ulama [x] shekels of silver."
"um-ma šu-ut-ma ku-ta-nam ú-šé-ba-lá-kum","He said: ""I will send you one kutānu-textile."""
"1⅓ ma-na KÙ.B. KI Ha-lu-a <gap>","1⅓ mina of silver is with Halua <gap>"
"2 ma-na a-<gap>","2 minas for <gap>;"
"1 ma-na a-na Šu-Ku-bi4-im 1½ ma-na a-na A-pu-ut-ri-a","1 mina for Šu-Kūbum, 1½ mina for Aputriya;"
"1 ma-na URUDU a-na Da-di-a a-šu-mì [I]l5-ba-ni áš-qúl","1 mina of copper I paid to Dadiya in the name of Ilī-bāni;"
"[x] ma-na a-na [Il5]-ba-ni a-dí-in","I gave [x] mina[(s)] to Ilī-bāni;"
"[x m]a-na 5 GÍN [ší]-im a-ri-im","[x] mina 5 shekels [as pay]ment for a hide;"
"[x m]a-na i-na [<gap>] mu-ṣí-šu [áš-q]úl","[x] mina(s) in [<gap>], his exit fee, I paid;"
"1 ma-na [<gap>] [<gap>] šu-ša-lu [ŠÀ].BA 3⅔ ma-na 5 GÍN [h]a-bu-lá-ak-šu-um","1 mina <gap> Thereof I am indebted to him for 3 minas 45 shekels."
"8½ GÍN KÙ.B. KI En-na-nim na-pá-hi-im","8½ shekels of silver due from Ennānum, the blacksmith;"
"1 GÍN KÙ.B. a-na NINDA ša-a-mì-im a-dí-na-kum","1 shekel of silver for buying bread I gave to you;"
"1 LÁ ¼ GÍN mu-sú-ha-am a-dí-na-kum","¾ shekel of bad quality (silver) I gave you."
"ŠÀ.BA 10 ma-na SÍG.HI.A ú 5 GÍN AN.NA ta-dí-na-am","Thereof you have given me 10 minas of wool and 5 shekels of tin."
"iš-tù ha-mu-uš-tim ša A-lá-hi-im ù Bu-sí-a i-ša Na-ra-am-ZU ù I-k[u-n]im KÙ.B. [ni]-iš-qúl","Reckoned from the week eponymy of Ali-ahum and Buṣiya we paid the silver during that of Naram-Suen and Ikūnum."
"5⅓ ma-na 2 GÍN a-na tap-hi-ri áš-qúl","5 minas 22 shekels I paid to the fund;"
"2 ma-na a-na a-wi-il5-tim a-dí-in","2 minas I gave to the lady;"
"2 ma-na UTU-ba-ni i-dí-ší-im","2 minas Šamaš-bāni gave her;"
"⅔ ma-na 5 GÍN i-nu-mì Ša-lim-be-lí i-li-kà-ni a-na a-wi-il5-tim a-dí-in","45 shekels when Šalim-bēlī had come here I gave to the lady;"
"½ ma-na i-nu-mì UTU-ba-ni i-tal-kam ½ DUG GIG ½ ma-na a-dí-ší-im","½ mina when Šamaš-bāni had come here (and) ½ jar of wheat (and?) ½ mina (of copper) I gave her."
"⅔ ma-na 3 GÍN KÙ.B. a-na Sú-sá-a a-šu-mì A-al-DÙG áš-qúl","43 shekels of silver I paid to Susāya on behalf of Āl-ṭāb."
"IGI En-na-nim na-pá-hi-im IGI En-um-A-šùr DUMU Bu-ut-qí-im IGI A-šùr-be-el-a-wa-tim DUMU Zu-ba.","In the presence of Ennānum, the blacksmith, of Ennam-Aššur, son of Butqum, of Aššur-bēl-awātim, son of Zuba."
"2 ma-[n]a KÙ.B. ša té-zi-[bu-ni]-a-tí-ni a-na DAM.GÀR ni-iš-qúl","The 2 minas of silver that you left behind to us we paid to the merchant;"
"1 GÍN [im]-ṭí","it was 1 shekel short."
"⅔ ma-na ½ GÍN a-na E-na-ni-a áš-qúl ŠÀ.BA 10 GÍN Ṣí-lu-lu il5-qé","40½ shekels I paid to Ennāniya, 10 shekels, thereof Ṣilulu took."
"½ ma-na KÙ.B. ší-[im] am-tim KI ku-um-ri-im","½ mina of silver, the price of a slave-girl is due by the priest."
"ša-ni-tám [a]-na E-na-ni-a e-zi-ib","A second (save-girl) I left to Ennāniya."
"36 ma-na URUDU 5 GÍN KÙ.B. KI Zu-ba 1 ṣú-ha-ru-um mì-ma a-nim a-na E-na-ni-a e-zi-ib","36 minas of copper (and) 5 shekels of silver due from Zuba, 1 young slave - all this I left to Ennāniya."
"5 GÍN KÙ.B. a-na ṣú-ha-ri-im ša Šu-Ku-bi4-im i-nu-mì a-na Wa-ah-šu-ša-na i-li-ku a-dí-in","5 shekels of silver I gave to the servant of Šu-Kūbum when he went to Wahšušana."
"40 ma-na URUDU ma-sí-am ší-im ANŠE i-li-bi4 A-šur-DÙG","40 minas of refined copper the price of a donkey, due from Aššur-ṭāb."
"ANŠE ša Be-la1-nim i-nu-mì a-wi-il5-tum me-ta-at-ni a-na 15 ma-na URUDU ṣa-la-mì-im il5-qé-šu","The donkey of Bēlānum he took when the lady had died for 15 minas of black copper."
37 ku-ta-ni 34 TÚG šu-ru-tum a-na Lá-qé-pí-im áp-qí-id IGI I-dí-IŠKUR IGI I-dí-A-šur DUMU Sú-e-ta-ta,"37 kutānu-textiles (and) 34 dark textiles I entrusted to Lā-qēpum in the presence of Iddin-Adad and of Iddin-Aššur, son of Suettata."
7 TÚG.HI.A ša li-wi-tim IGI A-šùr-SIPAD a-dí-šu-um,7 textiles for wrapping I gave him in the presence of Aššur-rēʾī.
37 ku-ta-nu qá-du-um ta-ad-mì-iq-tim ša Šu-Ištar,"37 kutānu-textiles, including (those) as free loan, belonging to Šu-Ištar,"
2 TÚG ni-is-ha-tum 3 GÍN KÙ.B. 3 TÚG a-ší-mì-im,"2 textiles import-tax, 3 shekels of silver (balanced), 3 textiles for pre-emption."
ší-tí TÚG-tí-šu 32 TÚG 3 GÍN KÙ.B. i-na hu-lu-qá-e ik-šu-da-šu,The rest of his textiles: 32 textiles. His share in the losses amounted to 3 shekels of silver.
i-na 47 ku-ta-ni qá-du-um: ta-ad-mì-qá-tí-šu ša I-dí-Sú-in,"Of the 47 kutānu-textiles, including those of his free loans, belonging to Iddin-Suen,"
2 TÚG ni-is-ha-tum ù 7 GÍN KÙ.B. i-na-pá-al 4 TÚG a-ší-mì-im,"2 textiles were import-tax and he will balance 7 shekels of silver, 4 textiles for pre-emption,"
41 ku-ta-nu-šu iz-ku-ú-nim,41 kutānu-textiles of his were cleared.
"i-na 51 TÚG šu-ru-tim ša I-dí-Sú-in 8 TÚG i-na li-wi-tim 5 TÚG ni-is-ha-tum ù 7 GÍN KÙ.B. i-na-pu-lu-šum 4 TÚG a-ší-mì-im","Of 51 dark textiles of Iddin-Suen, 8 textiles were for wrapping, 5 were import-tax and they will balance him 7 shekels of silver, 4 textiles for pre-emption."
"ší-tí TÚG-tí-šu 34 [TÚG šu-ru-t]im","The rest of his textiles amounts to 34 [dark tex]tiles."
"31 TÚG ku-ta-n[u] ša I-dí-Sú-i[n] 30 TÚG ku-ta-nu ša Ah-ša-lim 46 TÚG ku-ta-nu ša Hi-na-a ù Ú-ṣú-ra-nim","31 kutānu-textiles of Iddin-Suen, 30 kutānu-textiles of Ah-šalim, 46 kutānu-textiles of Hinnāya and Uṣurānum,"
"21 TÚG ku-ta-nu ša A-šur-SIPAD 36 TÚG ku-ta-nu ša Šu-Ištar 28 TÚG ku-ta-nu ša En-na-Sú-in","21 kutānu-textiles of Aššur-rēʾī, 36 kutānu-textiles of Šu-Ištar, 28 kutānu-textiles of Ennam-Suen,"
"24 TÚG ku-ta-nu ša Lá-qé-ep 18 TÚG ku-ta-nu ša DAM.GÀR 7 TÚG ku-ta-nu ú-lá kà-an-[ku]","24 kutānu-textiles of Lā-qēp, 18 kutānu-textiles of the merchant, 7 kutānu-textiles without seals,"
"14 TÚG ni-is-ha-tum 17 TÚG a-ší-mì-im","14 textiles import-tax, 17 textiles as pre-emption."
"30 LÁ 1 TÚG šu-ru-tum ša Šu-Ištar 15 TÚG ša En-na-Sú-in ŠU.NIGIN2 44 TÚG šu-ru-tum ša Šu-Ištar ù En-na-Sú-in","29 dark textiles of Šu-Ištar, 15 textiles of Ennam-Suen - in all 44 dark textiles of Šu-Ištar and Ennam-Suen."
"ŠÀ.BA 4 TÚG i-na li-wi-tim 4 TÚG ni-is-ha-tum 4 TÚG i-ší-mì-im","Thereof: 4 textiles used for wrapping, 4 textiles import-tax, 4 textiles by pre-emption."
"32 TÚG","32 textiles."
"51 TÚG šu-ru-tum ša I-dí-Sú-in 35 TÚG ša A-šur-SIPAD 32 TÚG ša Šu-Ištar 15 TÚG En-na-Sú-in 6 TÚG Ah-ša-lim","51 dark textiles of Iddin-Suen, 35 textiles of Aššur-rēʾī, 32 textiles of Šu-Ištar, 15 textiles Ennam-Suen, 6 textiles (of) Ah-šalim,"
"2 TÚG Ili5-ba-ni 2 TÚG DAM.GÀR 2 TÚG Lá-qé-ep ŠU-NIGIN2 1 me-at 42 TÚG","2 textiles (of) Ilī-bāni, 2 textiles (of) the merchant, 2 textiles Lā-qēp - in all 142 textiles."
"31 TÚG šu-ru-tum ša I-dí-Sú-in 21 TÚG šu-ru-tum ša A-šur-SIPAD 11 TÚG šu-ru-tum ša Šu-Ištar 11 TÚG šu-ru-tum ša En-na-Sú-in","31 dark textiles of Iddin-Suen, 21 dark textiles of Aššur-rēʾī, 11 dark textiles of Šu-Ištar, 11 dark textiles of Ennam-Suen,"
"8 TÚG a-na ni-is-ha-tim 10 TÚG a-na ší-mì-im 33 TÚG i-na li-wi-tim 12 TÚG ku-nu-ku-šu-nu lá-šu-ú 3 TÚG ha-al-qú","8 textiles as import-tax, 10 textiles as pre-emption, 33 textiles used for wrapping, 12 textiles whose seals are lacking, 3 textiles lost."
"KIŠIB Pè-ru-a KIŠIB Ša-hi-iš-nu-ma-an KIŠIB Ba-ri-me-a","Seal of Peruwa, seal of Šahišnuman, seal of Barimea."
"15 GÍN KÙ.B. Ba-ri-me-a Ku-na-ni-li a-ší-tí-šu ú A-še-a-ad me-er-i-šu Iš-pu-nu-ma-an i-šu","15 shekels of silver Barimea, Kunanili, his wife, and Aše'ad, his son, owe to Išpunuman."
"a-na ha-ar-pè KÙ.B. 1 na-ru-uq ŠE-am 2 DUG GIG 2 DUG bu-uq-lá-am","At summer time they will give the silver, 1 sack of barley, 2 jars of wheat and 2 jars of malt."
"i-du-nu šu-ma lá ú-ša-bu-ú A-šé-a-ad i-ta-ru","If they do not satisfy (the creditor) he will take Aše'ad along."
"KÙ.B. i-qá-qá-ad šál-mì-šu-nu ra-ki-is","They are jointly liable for the silver."
"18 GÍN KÙ.B. i-ṣé-er Ga-lu ù Ku-lu-ma-an Pe-ru-wa i-šu","18 shekels of silver Galu and Kuluman owe to Peruwa."
"i-na ša-tim ša-tim 6 GÍN.TA KÙ.B. i-ša-qú-lu IGI Ki-li-nu2-ma-an","In successive years they will pay each time 6 shekels In the presence of Kilinuman."
"KIŠIB A-šur-na-da DUMU A-mur-lu-sú KIŠIB I-dí-IŠKUR DUMU A-šur-DÙG KIŠIB I-dí-A-šur KIŠIB Zu-ba [KIŠ]IB A-ta-ah-šu","Seal of Aššur-nādā, son of Āmur-ilūssu, seal of Iddin-Adad, son of Aššur-ṭāb, seal of Iddin-Aššur, seal of Zuba, seal of Atahšu."
"[š]a 16 GÍN KÙ.B. [be]-ú-lá-at [A-t]a-ah-šu-ú","concerning 16 shekels of silver, the working capital of Atahšu."
"[iš]-tí KÙ.B. uk-ta-al","With the silver he is held."
"il5-qé <iš-tí> KÙ.B uk-ta-al","He is held with the silver."
"šu-ma a-na Kà-ni-iš a-ša-pá-ra-šu: ma-ma-an bé-el hu-bu-li-šu ša a-bi-šu lá i-ṭá-hi-šu-um","When I send him to Kanesh no creditor of his father, whosoever, shall approach him."
"KIŠIB A-šur-mu-ta-pí-il5 KIŠIB Ili5-TAB.BA DUMU Id-na-a","seal of Aššur-mūtappil, seal of Ilī-tappā, son of Idnaya."
"⅓ ma-na 2½ <GÍN> KÙ.B bé-ú-lá-at A-ta-ah-šu Ha-pu-a-šu a-bu-šu <<šu>>","22½ shekels of silver, the working capital of Atahšu, his father Happuašu received."
"⅓ ma-na KÙ.B ṣa-ru-pá-am i-ṣé-er A-šur-ta-ak-lá-ku A-šur-DÙG i-šu-ú","⅓ mina of refined silver Aššur-taklāku owed to Aššur-ṭāb."
"KÙ.B (erasure) A-šur-DÙG ša-bu","With that silver Aššur-ṭāb has been satisfied."
"ṭup-pu-um ša ⅓ ma-na KÙ.B ša hu-bu-ul A-šur-ta-ak-lá-ku ša e-li-a-ni sá-ar","The tablet recording a debt of ⅓ mina of silver owed by Aššur-taklāku which turns up is invalid."
"IGI Ì-lí-áš-ra-ni DUMU Tù-ur-A-šur","In the presence of Ilī-ašranni son of Tūr-Aššur"
"3 ma-na KÙ.B. ṣa-ru-pá-am ú ṣí-ba-sú KI I-ku-pi-a 3 ma-na KÙ.B. ú ṣí-ba-sú KI I-ku-pi-a DUMU Šu-E[N].LÍL","3 minas of refined silver and its interest due from Ikūn-pīya; 3 minas of silver and its interest due from Ikūn-pīya, son of Šu-Ellil;"
"2 ma-na KÙ.B. ú ṣí-ba-sú KI Lá-qí-pì-im 2 ma-na KÙ.B. ú ṣí-ba-sú KI Sá-li-a ½ ma-na KÙ.B. ú ṣí-ba-sú KI DUMU EN.ZU-na-da","2 minas of silver and its interest due from Lā-qēpum; 2 minas of silver and its interest due from Saliya; ½ mina of silver and its interest due from Suen-nādā's son;"
"½ ma-na 5 GÍN KÙ.B. ú ṣí-ba-sú KI DUMU Ṣí-li-Ištar ú tap-pá-i-šu nu-a-im","35 shekels of silver and its interest due from Ṣilli-Ištar's son and his Anatolian partner;"
"4⅓ ma-na KÙ.B. KI Šu-Be-lim DUMU I-tur4-ki-in 14 GÍN KÙ.B. KI A-šé-ed ú me-er-i-šu a-na p[á]-ha-ar ad-ri-im","4⅓ minas of silver due from Šu-Bēlum, son of Itūr-kēn; 14 shekels of silver due from Aše'ed and his son, they will pay at the gathering (of the barley) on the threshing floor;"
"i-ša-qú-lu 1 TÚG ku-ta-nam(DAM) KI I-na-a-a a-na É kà-ri-im i-dí","1 kutānu-textile due from Innāya, he deposited it at the colonial office."
"15 na-ru-uq mì-iš-lam ŠE-um mi-iš-lam GIG ṣí-ib-tum ša ša-da-aq-de-em iš-ti Ha-al-[ga]","15 bags, half barley, half wheat, the interest of last year, is due from Halga."
"10 na-ru-uq ŠE-am a-na-áp-[ṭù-ur] ku-pá-im i-[š]a-da-dam","10 bags of barley when the snow disappears he will haul to me."
"5 na-ru-uq GIG a-na e-bu-ri-im i-ša-da-dam","5 bags of wheat he will haul to me not later than the harvest."
"IGI Lu-lu","Witnessed by Lullu."
"10 GÍN KÙ.B. ṣa-ru-pá-am iš-tù ha-mu-uš-tim ša UTU-ba-ni ù A-šur-ma-lik a-na ha-mu-uš-tim ša ta-la-kà-ni ú-šé-ba-lam","10 shekels of refined silver he will send to me reckoned from the week eponymy of Šamaš-bāni and Aššur-mālik not later than the coming week-eponymy."
"šu-ma lá uš-té-bi4-lam 15 GÍN KÙ.B. i-ša-qal","Should he not send it to me then he will pay 15 shekels of silver."
"IGI En-na-nim IGI A-šur-mu-ta-pí-il5","In the presence of Ennānum, of Aššur-mutappil."
"KIŠIB DINGIR-SIPAD DUMU A-ta-a KIŠIB Šu-Lá-ba-an DUMU Ib-ni-lí KIŠIB Puzur4-A-bé-eh DUMU A-šur-UTU","Seal of Ilī-rēʾī, son of Ataya, seal of Šu-Labān, son of Ibni-ilī, seal of Puzur-Abeh, son of Aššur-šamšī,"
"[ša] Šu-Iš-ha-ra DUM[U ..........-a] [ù] Puzur4-A-be-eh 9 GÚ URUDU SIG5 ha-bu-ra-ta-i-am ša-bu-ra-am iš-tù ha-mu-uš-tim ša UTU-DÙG a-na 13 ha-am-ša-tim","[that] Šu-Išhara, son of .........., and Puzur-Abeh will pay 9 talents of refined, broken copper from Haburata from the week of Šamaš-ṭāb within 13 weeks."
"i-[ša]-qú-lu šu-ma i-na u4-me-šu-nu ma-al-ú-tim lá iš-qú-lu [1½] ma-na.TA i-na ITU.KAM-im a-na 1 GÙ-tim ú-[ṣú-bu]","If they do not pay when their term is up, they will add as interest [1½] mina per talent per month."
"URUDU i-na qá-qá-ad šál-mì-šu-nu ra-ki-is","The copper is bound to the person of of who of them is solvent."
"KIŠIB Ištar-ba-ni DUMU Ás-qú-dim KIŠIB En-nam-A-šur DUMU Ì-lí-[re-i] KIŠIB Ku-lu-ma-a DUMU A-ta-a","Seal of Ištar-bāni, son of Asqudum, seal of Ennam-Aššur, sons of Ilī-rēʾī, seal of Kulumaya, son of Atāya."
"10 ma-na 15 GÍN URUDU ma-sí-a-am [i]-ṣé-er Ištar-ba-ni <gap> x i-šu iš-[tù] [ha-mu-u]š-tim ša Ì-[lí-a] [ù Kàr]-wa-a a-na [ITU. KAM]","10 minas and 15 shekels of refined copper Ištar-bāni owes to <gap> from the week of Iliya and Karwaya he will pay within one month."
"[i]-ša-qal šu-ma lá iš-qú-ul ki-ma a-wa-at kà-ri-im ṣí-ib-tám ú-ṣa-áb","If he does not pay he will add interest in accordance with the regulation of the colony."
"[IT]U.KAM ma-hu-ur-ì-lí li-mu-um DÙG-A-šur","Month IV, eponymy of Ṭāb-Aššur"
"1 ma-na 2 GÍN KÙ.B. [ṣa]-ru-pá-am i-ṣé-er [A]-ni-sà-ba Tù-ra-mì-ili5","1 mina 2 shekels of refined silver Anisaba owes to Tūram-ilī."
"i-šu iš-tù ha-mu-uš-tim ša DINGIR-na-da a-2 ITU.KAM a-Kà-né-eš ú-šé-ba-lam","Reckoned from the week eponymy of Ilī-nādā he will send me the silver to Kanesh in 2 months."
"šu-ma lá ú-šé-bi4-lam 1½ GÍN.TA a-1-ma-na-im i-ITU.KAM ú-ṣa-áb","If he does not send it he will add as interest 1½ shekel per mina per month."
"IGI Na-áb-Sú-in IGI [Šu-Ku]-bi4-im","In the presence of Nabi-Suen, of Šu-Kūbum."
"KIŠIB A-šur-ba-ni DUMU A-šur-be-el-a-wa-tim KIŠIB Pi-lá-ah-A-šur DUMU Da-tim KIŠIB Ili5-[b]a-ni DUMU I-a-a-a","Seal of Aššur-bāni, son of Aššur-bēl-awātim, seal of Pilah-Aššur, son of Datum, seal of Ilī-bāni, son of Iāya,"
"ša ½ ma-na KÙ.B. ṣa-ru-pá-am i-ṣé-er Ili5-ba-ni En-nam-A-šur","to the effect that Ilī-bāni owes to Ennam-Aššur ½ mina of refined silver."
"i-šu-ú iš-tù ha-mu-uš-tim š[a] UTU-ba-ni ù A-šur-ma-lik a-na ITU.1.KAM i-ša-qal","Reckoned from the week of Šamaš-bāni and Aššur-mālik he will pay within one month."
"šu-ma lá iš-qú-ul 1 LÁ ¼ GÍN.TA i-ITU.1.KAM ú-ṣa-áb ITU.KAM","If he does not pay he will add as interest ¾ shekel per month."
"li-mu-um Puzur4-[Ni-]-ra-ah DUMU A-šur-ba-ni","eponymy of Puzur-Nirah son of Aššur-bāni"
"½ ma-na KÙ.B. ṣa-ru-pá-am i-ṣé-er A-mur-A-šur I-dí-A-bu-um","Half a mina of refined silver Amur-Aššur owes to Iddin-abum."
"i-šu 1 GUD.HI.A ša-lá-nam ša ma-ra-e-em i-da-an","One calf for fattening he will deliver."
"IGI Ku-sí-lá-nim IGI A-šur-lá-ma-sí","Before Kusilānum, before Aššur-lamassī."
"2 mas-ki ša-pá-tim [ṣa]-ru-pu-tim ha-bu-ul","He (also) owes two colored woolen fleeces."
"KIŠIB Ma-num DUMU Kà-bi-a KIŠIB A-šur-DÙG DUMU Šu-Ištar KIŠIB A-hu-šu DUMU A-šur-i-dí KIŠIB Šu-EN.LÍL DUMU Ma-nu-ki-A-šur","Seal of Manum, son of Kabiya, seal of Aššur-ṭāb, son of Šu-Ištar, seal of Ahušu, son of Aššur-idī, seal of Šu-Ellil, son of Mannu-kī-Aššur."
"5 ma-na KÙ.B. li-tám dam-qám i-ṣ[é-er Š]u-EN.LÍL DUMU Ma-nu-ki-A-šur Iš-[ma-A-šur DUMU] Hi-na-a i-šu","5 minas of good quality lītu-silver Šu-Ellil, son of Mannu-kī-Aššur, owes to Išme-Aššur, son of Hinnāya."
"i[š-tù ha-mu]š-tim ša Ku-lu-ma-a IT[U.KAM áb-ša-r]a-ni li-mu-um Sá-[ma-a a-na x ha-a]m-ša-tim","From the week of Kulumaya, month V, year eponymy of Samaya, he will pay within weeks;"
"i-[ša-qal šu]-ma lá iš-qúl ki-ma a-wa-at kà-ri-im 1½ GÍN.TA i-na ITU.KAM-im a-na 1 ma-na-im ṣí-ib-tám ú-ṣa-áb","if he does not pay he will add in accordance with the regulation of the colony an interest of 1½ shekel per month per mina."
"KIŠIB Puzur4-A-na DUMU I-dí-IŠKUR KIŠIB A-mur-A-šur DUMU A-šur-be-el-a-wa-tim KIŠIB [En-um-A-šur ŠEŠ-šu KIŠIB I-ku-pí-A-šur DUMU Hi-na-a","Seal of Puzur-Anna, son of Iddin-Adad, seal of Āmur-Aššur, son of Aššur-bēl-awātim, seal of Ennam-Aššur, his brother, seal of Ikūn-pī-Aššur, son of Hinnāya."
"5 GÚ URUDU ma-sí-am i-ṣé-er A-mur-A-šur DUMU A-šur-be-el-a-wa-tim <ù> En-um-A-šur a-hi-šu: Li-ip-i[t]-Ištar i-šu","5 talents of refined copper Āmur-Aššur, son of Aššur-bēl-awātim, <and> Ennam-Aššur, his brother, owe to Lipit-Ištar."
"a-na MU.5.ŠÈ i-ša-qú-lu","They will pay in 5 years;"
"šu-ma lá iš-qú-lu 1½ ma-na.TA i-na ITU.KAM-im ṣí-ib-tám ú-ṣú-bu","when they do not pay they will add 1½ mina per (talent) per month as interest."
"I-ku-pí-A-šur DUMU Hi-na-a qá-ta-tum","Ikūn-pī-Aššur, son of Hinnāya, is guarantor."
"ITU.KAM ṣi-ip-im li-mu-um Bu-zu-ta-[a]","Month VII, eponymy year of Buzutaya."
"KIŠIB Ištar-pá-li-il5 DUMU Šu-Ku-bi4-im KIŠIB Ni-mar-Ištar DUMU Ba-la KIŠIB A-bu-ša-lim DUMU Ì-lí-a-lúm","Seal of Ištar-pālil, son of Šu-Kūbum, seal of Nimar-Ištar, son of Bala, seal of Abu-šalim, son of Ilī-ālum."
"1/2 ma-na KÙ.B. ṣa-ru-pá-am i-ṣé-er Ištar-pá-li-il5 DUMU Šu-Ku-bi4-im DAM.GÀR-ru-um i-šu","½ mina of refined silver Ištar-pālil, son of Šu-Kūbum, owes to the creditor."
"iš-tù ha-muš-tim ša EN.LÍL-ba-ni ITU.KAM ṭí-i-na-tim 1 GÍN.TA i-na ITU.KAM a-na KÙ.B. a-nim ṣí-ib-tám ú-ṣa-áb","From the week-eponymy of Ellil-bāni, month X, he will add 1 shekel per month for this silver."
"li-mu-um Ha-na-na-ru-um","Eponymy of Hanna-nārum."
"KIŠIB Ištar-pá-li-il5 DUMU Šu-Ku-bi4-im KIŠIB A-šur-iš-ti-kal DUMU Hi-na-a KIŠIB A-lá-hi-im DUMU Sú-sà-a-a KIŠIB Puzur2-Ištar DUMU Šu-Ku-bi4-im KIŠIB Be-[lúm-ba]-ni DUMU Ga-zi-a KIŠIB Áb-ša-lim DAM A-lá-hi-im","Seal of Ištar-pālil, son of Šu-Kūbum, seal of Aššuriš-tikal, son of Hinnāya, seal of Ali-ahum, son of Susāya, seal of Puzur-Ištar, son of Šu-Kūbum, seal of Bēlum-bāni, son of Gaziya, seal of Ab-šalim, the wife of Ali-ahum."
"½ ma-na KÙ.B. ṣa-ru-pá-am i-ṣé-er Ištar-pá-li-il5 Áb-ša-lim DAM A-lá-hi-im ù DUMU-e A-lá-hi-im DAM.GÀR i-šu","½ mina of refined silver Ištar-pālil, Ab-šalim, the wife of Ali-ahum, and the sons of Ali-ahum owe to the creditor."
"iš-tù ha-mu-<uš>-tim ša Ha-na-a ITU.KAM kán-wa[r-ta 1]½ [GÍN.TA] ṣí-ib-tá[m i-na] ITU.KAM a-na [1 ma-na-im ú-ṣ]ú-bu","From the week-eponymy of Hanāya, month IX, they will add 1½ shekel as interest per month per mina."
"KÙ.B. [i-qá-qá-ad šál-m]ì-šu-nu ú ke-[ni-šu-nu ra-ki-i]s","The silver is bound on who is solvent and reliable."
"li-mu-um [Ha-na-na-ru]-um","Eponymy of Hanna-nārum."
"i-ša-ha-at Áb-ša-lim ú me-[er-e] A-lá-hi-im Be-[lúm-ba-ni] DUMU Ga-zi-a i-zi-iz","Bēlum-bāni, son of Gaziya, assisted Ab-šalim and the sons of Ali-ahum."
"ṭup-[pá- am] ša 24½ ma-na 5 GÍN AN.NA","A tablet of 24 minas and 35 shekels of tin,"
"15 GÍN KÙ.B. i-ṣé-er Ma-lá-wa-áš-he DAM.GÀR i-šu","15 shekels of silver Malawašhe owes to the creditor."
"iš-tú ha-muš-tim ša A-mur-A-šur [ITU.K]AM ša ke-na-tim [li-m]u-um [ša qá-ti I]-na-a [a-n]a ša-na-at ta-ša-qal","She will pay within a year, reckoning from the week eponymy of Amur-Aššur, month III, year eponymy of the successor of Innāya."
"šu-ma i-ma-lá u4-me-ša lá ta-áš-qú-ul ki-ma a-wa-at kà-ri-im ṣí-ib-tám tú-ṣa-áb","If she has not paid when her term is over she will add interest in accordance with the regulation of the colony."
